Designator,Mid X,Mid Y,Layer,Rotation
R759,39.839999999999996mm,98.07249999999999mm,Top,270.0
R764,36.46mm,94.01249999999999mm,Top,0.0
R767,38.451592999999995mm,96.01249999999999mm,Top,180.0
R768,38.451592999999995mm,94.01249999999999mm,Top,0.0
R769,36.46mm,96.01249999999999mm,Top,0.0
R770,39.849999999999994mm,99.9725mm,Top,270.0
U751,37.521597mm,101.336794mm,Top,90.0
U754,42.14mm,93.16447mm,Top,180.0
U755,43.43mm,99.35249999999999mm,Top,270.0
U756,37.04mm,90.815705mm,Top,0.0
C771,52.275mm,96.10000000000001mm,Top,180.0
C772,51.574999999999996mm,91.2mm,Top,90.0
C773,52.922905mm,91.2mm,Top,90.0
D771,54.775mm,94.3mm,Top,90.0
R771,48.574999999999996mm,100.7mm,Top,90.0
R772,52.375mm,102.60000000000001mm,Top,180.0
R773,50.975mm,99.0mm,Top,90.0
R774,53.475mm,99.0mm,Top,90.0
R775,52.275mm,94.8mm,Top,180.0
R776,54.725mm,91.2mm,Top,90.0
R777,52.275mm,93.3mm,Top,180.0
U771,49.074999999999996mm,93.4mm,Top,270.0
C601,122.60000000000001mm,63.225mm,Bottom,180.0
C602,122.60000000000001mm,64.175mm,Bottom,180.0
C603,120.4mm,64.175mm,Bottom,0.0
C604,122.60000000000001mm,65.125mm,Bottom,180.0
C605,120.941668mm,51.300000000000004mm,Bottom,270.0
C606,120.4mm,65.125mm,Bottom,180.0
C607,124.825mm,47.625mm,Bottom,270.0
C608,131.07500000000002mm,64.9mm,Bottom,90.0
C617,128.424628mm,70.72500000000001mm,Bottom,180.0
C618,122.825mm,68.300064mm,Bottom,270.0
D604,120.65mm,68.7mm,Bottom,90.0
